Text title,Specific text & privacy,Citation 1,Citation 2,Citation3
Robert Louis Stevenson_ New Arabian Nights,0,,,
Robert Louis Stevenson_ The Master of Ballantrae,0,,,
Robert Louis Stevenson_ Treasure Island,0,,,
Robert Louis Stevenson_ Weir of Hermiston,0,,,
Rudyard Kipling_ Kim,0,,,
Rudyard Kipling_ Puck of Pook's Hill,0,,,
Samuel Butler_ Erewhon,0,,,
Samuel Butler_ The Way of All Flesh,0,,,
"Sherwood Anderson_ Winesburg, Ohio",0,,,
Sinclair Lewis_ Babbitt,0,,,
Stephen Crane_ The Red Badge of Courage,0,,,
Theodore Dreiser_ Sister Carrie,0,,,
Thomas de Quincey_ Confessions of an English Opium Eater,0,,,
Thomas Hardy_ Far from the Madding Crowd,0,,,
Thomas Hardy_ Jude the Obscure,0,,,
Thomas Hardy_ Tess of the d'Urbervilles,1,"Williams, Daniel. “Rumor, Reputation, and Sensation in ‘Tess of the d’Urbervilles.’” NOVEL: A Forum on Fiction 46, no. 1 (2013): 93–115. http://www.jstor.org/stable/43829938.",,
Thomas Hardy_ The Mayor of Casterbridge,1,"Koehler, Karin (2016). Thomas Hardy and the Victorian Communication: Letters, Telegrams, and Postal Systems. Palgrave Macmillan.",,
Thomas Hardy_ The Return of the Native,1,"Koehler, Karin (2016). Thomas Hardy and the Victorian Communication: Letters, Telegrams, and Postal Systems. Palgrave Macmillan.",,
W Somerset Maugham_ The Moon and Sixpence,0,,,
Walter De la Mare_ Memoirs of a Midget,0,,,
Walter Scott_ Redgauntlet,0,,,
Walter Scott_Old Mortality,0,,,
Walter Scott_The Heart of Midlothian,1,"Spacks, Patricia Meyer. “The Privacy of the Novel.” NOVEL: A Forum on Fiction 31, no. 3 (1998): 304–16. https://doi.org/10.2307/1346102.",,
Walter Scott_Waverley,1,"Mackenzie, Scott. “Confessions of a Gentrified Sinner: Secrets in Scott and Hogg.” Studies in Romanticism 41, no. 1 (2002): 3–32. https://doi.org/10.2307/25601542.

",,
"Wells, H G_ In the Days of the Comet",0,,,
"Wells, H G_ The First Men in the Moon",0,,,
"Wells, H G_ The Food of the Gods",0,,,
"Wells, H G_ The Invisible Man",1,"Cantor, Paul A. “‘The Invisible Man’ and the Invisible Hand: H. G. Wells’s Critique of Capitalism.” The American Scholar 68, no. 3 (1999): 89–102. http://www.jstor.org/stable/41212907.",,
"Wells, H G_ The Island of Dr Moreau",0,,,
"Wells, H G_ The Time Machine",0,,,
"Wells, H G_ The War of the Worlds",0,,,
Wilkie Collins_ No Name,0,,,
Wilkie Collins_ The Moonstone,1,"Bisla, Sundeep. ""The Return of the Author: Privacy, Publication, the Mystery Novel, and The Moonstone."" boundary 2 29, no. 1 (2002): 177-222. muse.jhu.edu/article/3361.",,
Wilkie Collins_ The Woman in White,1,"Bulman, Jessica. “Publishing Privacy: Intellectual Property, Self-Expression, and the Victorian Novel.” Hastings Communications and Entertainment Law Journal 26, no 1 (2003): 73-118.",,
Willa Cather_ My Antonia,1,"Stout, Janis P. “Between Candor and Concealment: Willa Cather and (Auto)biography.” Biography 32, no. 3 (Summer 2009): 467-492.",,
William Dean Howells_ A Modern Instance,1,"Freeman, Kimberley. “The ‘Enormous Fact’ of American Life: Divorce in W. D. Howells’ ‘A Modern Instance’.” American Literary Realism 36, no. 1 (Fall 2003): 65-85.","Holbo, Christine. “Modernism’s Others: Literary Realisms in an Age of Incomplete Emancipation.” American Literary History 33, no. 3 (Fall 2021): 588–600.",
William Dean Howells_ The Rise of Silas Lapham,0,,,
William Makepeace Thackeray_ The History of Henry Esmond,0,,,
William Makepeace Thackeray_ Vanity Fair,1,"Silvana May, Leila. Secrecy and Disclosure in Victorian Fiction. Oxon: Routledge, 2017.",,
William Morris_ News from Nowhere,0,,,
William Morris_ The Well at the World's End,0,,,
